SKU,Product Name,Brand,Category,Unit,Cost (AED),Price (mixed incl./excl. VAT),Opening Qty,Tax Group,Shelf Life Note
MM-00555,Nova Car Mount,Nova,accessories,Each,186.30,266.46,0,Standard 5%,
MM-00556,PureSound Smartphone Lite,PureSound,Phones,Each,563.91,984.64,17,Standard 5%,
MM-00557,Falconx Smartphone 128GB,Falconx,Phones,Each,59.10,83.70,42,Standard 5%,
MM-00558,Zenlink Smartphone 256GB,Zenlink,phones,Each,714.92,1075.15,20,Standard 5%,
MM-00559,Zenlink Smartphone 128GB,Zenlink,Mobiles,Each,90.52,124.83,18,Standard 5%,
MM-00560,Vantage Fast Charger 20W,Vantage,Chargers,Each,743.34,1370.34,48,Standard 5%,
MM-00561,Vantage Smart Watch,Vantage,Wearables,Each,527.02,894.52,44,Standard 5%,
MM-00562,Orbit Fast Charger 20W,Orbit,Charging,Each,321.26,426.44,40,Standard 5%,
MM-00563,Vantage Smartphone Lite,Vantage,Mobiles,Each,809.83,1333.05,24,Standard 5%,
MM-00564,Nova Over-Ear Headphones,Nova,Audio,Each,431.14,659.02,48,Standard 5%,
MM-00565,Nova Smartphone 128GB,Nova,Phones,Each,506.75,827.14,35,Standard 5%,
MM-00566,Orbit Over-Ear Headphones,Orbit,Audio,Each,197.56,268.25,12,Standard 5%,
MM-00567,Orbit Fast Charger 65W,Orbit,Chargers,Each,267.14,339.16,44,Standard 5%,
MM-00568,PureSound Over-Ear Headphones,PureSound,Audio,Each,387.81,585.86,30,Standard 5%,
MM-00569,Orbit Fast Charger 20W,Orbit,Charging,Each,872.73,1261.61,3,Standard 5%,
MM-00570,Zenlink Replacement Screen,Zenlink,Parts,Each,643.57,812.84,28,Standard 5%,
MM-00571,Falconx Smartphone 256GB,Falconx,phones,Each,83.72,110.93,13,Standard 5%,
MM-00572,PureSound Smartphone Lite,PureSound,Phones,Each,841.57,1409.72,20,Standard 5%,
MM-00573,Nova Smartphone Lite,Nova,Phones,Each,774.96,1394.26,27,Standard 5%,
MM-00574,PureSound Smart Watch,PureSound,Wearables,Each,656.02,852.20,7,Standard 5%,
MM-00575,Zenlink Phone Case,Zenlink,Acc.,Each,234.52,376.70,3,Standard 5%,
MM-00576,Falconx Fitness Band,Falconx,Wearable,Each,647.48,1113.92,41,Standard 5%,
MM-00577,PureSound Fast Charger 20W,PureSound,Charging,Each,437.40,603.73,32,Standard 5%,
MM-00578,Orbit Fitness Band,Orbit,Wearable,Each,294.37,455.86,11,Standard 5%,
MM-00579,Vantage Fitness Band,Vantage,Wearables,Each,614.78,889.46,2,Standard 5%,
MM-00580,Vantage Wireless Earbuds,Vantage,Audio,Each,515.73,934.39,14,Standard 5%,
MM-00581,Zenlink Wireless Charger Pad,Zenlink,Charging,Each,797.03,1047.01,13,Standard 5%,
MM-00582,Falconx Cable Type-C,Falconx,Accessories,Each,874.68,1327.04,11,Standard 5%,
MM-00583,PureSound Fitness Band,PureSound,Wearable,Each,347.97,518.72,33,Standard 5%,
MM-00584,PureSound Smartphone 256GB,PureSound,phones,Each,334.41,631.59,6,Standard 5%,
MM-00585,Falconx Fast Charger 65W,Falconx,Chargers,Each,452.28,841.19,5,Standard 5%,
MM-00586,Zenlink Wireless Earbuds,Zenlink,audio,Each,207.52,376.32,26,Standard 5%,
MM-00587,Vantage Fitness Band,Vantage,Wearables,Each,788.47,1064.10,46,Standard 5%,
MM-00588,Zenlink Over-Ear Headphones,Zenlink,audio,Each,356.68,568.13,36,Standard 5%,
MM-00589,Zenlink Wireless Earbuds,Zenlink,Audio,Each,640.98,1060.96,49,Standard 5%,
MM-00590,PureSound Wireless Earbuds,PureSound,Audio,Each,69.08,129.64,34,Standard 5%,
MM-00591,Zenlink Smart Watch,Zenlink,Wearables,Each,666.66,962.24,23,Standard 5%,
MM-00592,Nova Fitness Band,Nova,Wearables,Each,172.40,308.82,20,Standard 5%,
MM-00593,Vantage Wireless Charger Pad,Vantage,Charging,Each,656.72,894.14,20,Standard 5%,
MM-00594,Orbit Over-Ear Headphones,Orbit,Audio,Each,618.11,1146.38,11,Standard 5%,
MM-00595,Orbit Fitness Band,Orbit,Wearable,Each,554.51,738.76,34,Standard 5%,
MM-00596,Falconx Replacement Screen,Falconx,Parts,Each,864.53,1427.45,15,Standard 5%,
MM-00597,Vantage Replacement Battery,Vantage,Repair Parts,Each,885.54,1586.83,25,Standard 5%,
MM-00598,Vantage Smart Watch,Vantage,Wearable,Each,531.64,970.21,26,Standard 5%,
MM-00599,Orbit Screen Protector,Orbit,Acc.,Each,639.58,833.41,9,Standard 5%,
MM-00600,Falconx Fast Charger 65W,Falconx,Charging,Each,565.72,1025.24,11,Standard 5%,
MM-00601,Orbit Fitness Band,Orbit,Wearable,Each,669.91,1086.53,5,Standard 5%,
MM-00602,Orbit Fast Charger 65W,Orbit,Charging,Each,296.72,501.42,47,Standard 5%,
MM-00603,PureSound Screen Protector,PureSound,Acc.,Each,814.18,1403.51,4,Standard 5%,
MM-00604,Zenlink Over-Ear Headphones,Zenlink,audio,Each,185.96,293.80,26,Standard 5%,
MM-00605,PureSound Replacement Battery,PureSound,Parts,Each,299.77,500.21,22,Standard 5%,
MM-00606,Orbit Fast Charger 65W,Orbit,Charging,Each,651.59,895.99,12,Standard 5%,
MM-00607,Orbit Car Mount,Orbit,Accessories,Each,155.88,260.68,27,Standard 5%,
MM-00608,Nova Smartphone 256GB,Nova,Mobiles,Each,786.30,1082.31,22,Standard 5%,
MM-00609,Vantage Phone Case,Vantage,accessories,Each,45.37,80.56,15,Standard 5%,
MM-00610,PureSound Screen Protector,PureSound,Accessories,Each,665.31,1091.24,19,Standard 5%,
MM-00611,Falconx Over-Ear Headphones,Falconx,audio,Each,567.80,843.14,40,Standard 5%,
MM-00612,Zenlink Fitness Band,Zenlink,Wearable,Each,596.61,1029.83,50,Standard 5%,
MM-00613,Nova Replacement Battery,Nova,Parts,Each,831.70,1504.28,10,Standard 5%,
MM-00614,Zenlink Replacement Battery,Zenlink,Parts,Each,279.76,484.76,32,Standard 5%,
MM-00615,Zenlink Fast Charger 20W,Zenlink,Chargers,Each,668.72,1204.93,8,Standard 5%,
MM-00616,Zenlink Replacement Battery,Zenlink,Repair Parts,Each,515.52,727.79,8,Standard 5%,
MM-00617,Nova Replacement Screen,Nova,Repair Parts,Each,125.65,215.96,32,Standard 5%,
MM-00618,Vantage Fast Charger 20W,Vantage,Chargers,Each,32.52,49.11,8,Standard 5%,
MM-00619,PureSound Fast Charger 65W,PureSound,Chargers,Each,154.83,211.23,35,Standard 5%,
MM-00620,Falconx Phone Case,Falconx,Acc.,Each,141.89,216.77,33,Standard 5%,
MM-00621,Vantage Smartphone 128GB,Vantage,Mobiles,Each,653.57,1140.09,20,Standard 5%,
MM-00622,Zenlink Smartphone 128GB,Zenlink,Phones,Each,720.49,1203.80,27,Standard 5%,
MM-00623,Orbit Bluetooth Speaker,Orbit,audio,Each,531.18,862.08,25,Standard 5%,
MM-00624,PureSound Replacement Battery,PureSound,Parts,Each,147.31,225.80,7,Standard 5%,
MM-00625,Vantage Fast Charger 65W,Vantage,Charging,Each,47.54,80.26,13,Standard 5%,
MM-00626,Zenlink Smartphone 128GB,Zenlink,phones,Each,291.61,487.39,50,Standard 5%,
MM-00627,Vantage Smart Watch,Vantage,Wearables,Each,359.33,582.87,43,Standard 5%,
MM-00628,Orbit Fast Charger 20W,Orbit,Chargers,Each,616.36,787.43,12,Standard 5%,
MM-00629,Nova Screen Protector,Nova,Accessories,Each,561.81,998.52,6,Standard 5%,
MM-00630,Zenlink Replacement Screen,Zenlink,Repair Parts,Each,431.81,638.64,39,Standard 5%,
MM-00631,Nova Smartphone Lite,Nova,Mobiles,Each,731.61,1158.20,36,Standard 5%,
MM-00632,Nova Fitness Band,Nova,Wearables,Each,247.43,324.73,45,Standard 5%,
MM-00633,Orbit Smart Watch,Orbit,Wearable,Each,491.40,804.74,35,Standard 5%,
MM-00634,Orbit Screen Protector,Orbit,Accessories,Each,517.99,696.50,10,Standard 5%,
MM-00635,Vantage Over-Ear Headphones,Vantage,audio,Each,640.91,896.07,44,Standard 5%,
MM-00636,PureSound Fitness Band,PureSound,Wearable,Each,601.18,881.36,22,Standard 5%,
MM-00637,Falconx Wireless Charger Pad,Falconx,Chargers,Each,485.84,867.21,24,Standard 5%,
MM-00638,Vantage Fitness Band,Vantage,Wearables,Each,167.70,279.89,6,Standard 5%,
MM-00639,Falconx Replacement Screen,Falconx,Repair Parts,Each,53.81,85.07,8,Standard 5%,
MM-00640,Zenlink Screen Protector,Zenlink,accessories,Each,134.11,198.08,46,Standard 5%,
MM-00641,Vantage Wireless Charger Pad,Vantage,Charging,Each,710.54,1248.33,41,Standard 5%,
MM-00642,PureSound Replacement Battery,PureSound,Parts,Each,680.27,1104.60,42,Standard 5%,
MM-00643,Zenlink Fitness Band,Zenlink,Wearable,Each,774.35,1336.14,1,Standard 5%,
MM-00644,Vantage Wireless Earbuds,Vantage,audio,Each,587.79,873.47,2,Standard 5%,
MM-00645,Vantage Fitness Band,Vantage,Wearables,Each,217.90,338.61,37,Standard 5%,
MM-00646,Orbit Smart Watch,Orbit,Wearable,Each,329.13,434.14,4,Standard 5%,
MM-00647,Vantage Over-Ear Headphones,Vantage,Audio,Each,511.68,857.25,45,Standard 5%,
MM-00648,PureSound Fast Charger 65W,PureSound,Chargers,Each,237.99,385.08,29,Standard 5%,
MM-00649,PureSound Smartphone 128GB,PureSound,Phones,Each,709.10,912.72,7,Standard 5%,
MM-00650,Vantage Smartphone 128GB,Vantage,Phones,Each,211.86,309.30,17,Standard 5%,
MM-00651,Orbit Cable Type-C,Orbit,Accessories,Each,827.83,1175.31,30,Standard 5%,
MM-00652,Falconx Smart Watch,Falconx,Wearables,Each,681.33,883.98,49,Standard 5%,
MM-00653,Vantage Cable Type-C,Vantage,Accessories,Each,516.00,918.44,42,Standard 5%,
MM-00654,PureSound Replacement Screen,PureSound,Parts,Each,897.66,1662.06,26,Standard 5%,
MM-00655,Orbit Bluetooth Speaker,Orbit,Audio,Each,210.59,377.87,31,Standard 5%,
MM-00656,Vantage Cable Type-C,Vantage,Acc.,Each,83.48,125.20,3,Standard 5%,
MM-00657,Zenlink Replacement Battery,Zenlink,Repair Parts,Each,443.14,758.11,11,Standard 5%,
MM-00658,PureSound Replacement Screen,PureSound,Parts,Each,551.06,877.47,23,Standard 5%,
MM-00659,Nova Fitness Band,Nova,Wearable,Each,689.84,1173.95,30,Standard 5%,
MM-00660,Zenlink Phone Case,Zenlink,accessories,Each,505.65,758.29,27,Standard 5%,
MM-00661,PureSound Fast Charger 20W,PureSound,Chargers,Each,597.04,1020.48,47,Standard 5%,
MM-00662,Orbit Screen Protector,Orbit,Acc.,Each,351.55,494.88,24,Standard 5%,
MM-00663,Orbit Fitness Band,Orbit,Wearables,Each,467.58,674.21,30,Standard 5%,
MM-00664,PureSound Replacement Screen,PureSound,Repair Parts,Each,267.74,419.51,12,Standard 5%,
MM-00665,Nova Wireless Earbuds,Nova,audio,Each,422.31,608.09,14,Standard 5%,
MM-00666,Orbit Screen Protector,Orbit,Accessories,Each,405.71,721.27,36,Standard 5%,
MM-00667,PureSound Replacement Screen,PureSound,Parts,Each,466.68,692.84,35,Standard 5%,
MM-00668,Falconx Replacement Screen,Falconx,Parts,Each,166.00,267.06,48,Standard 5%,
MM-00669,Nova Replacement Screen,Nova,Repair Parts,Each,133.73,208.71,34,Standard 5%,
MM-00670,Nova Smartphone Lite,Nova,Phones,Each,190.94,246.18,17,Standard 5%,
MM-00671,Orbit Wireless Earbuds,Orbit,Audio,Each,327.85,455.64,21,Standard 5%,
MM-00672,Nova Wireless Earbuds,Nova,Audio,Each,596.10,917.75,37,Standard 5%,
MM-00673,Nova Replacement Battery,Nova,Parts,Each,32.20,60.59,23,Standard 5%,
MM-00674,Nova Wireless Earbuds,Nova,audio,Each,218.09,382.18,10,Standard 5%,
MM-00675,Falconx Smartphone 128GB,Falconx,Mobiles,Each,589.88,861.06,48,Standard 5%,
MM-00676,PureSound Replacement Battery,PureSound,Parts,Each,70.16,113.33,26,Standard 5%,
MM-00677,Zenlink Fast Charger 65W,Zenlink,Chargers,Each,243.17,376.16,24,Standard 5%,
MM-00678,Vantage Smartphone 128GB,Vantage,Phones,Each,804.67,1346.50,30,Standard 5%,
MM-00679,PureSound Over-Ear Headphones,PureSound,Audio,Each,204.99,284.48,14,Standard 5%,
MM-00680,Nova Replacement Battery,Nova,Parts,Each,325.71,546.06,3,Standard 5%,
MM-00681,Orbit Fast Charger 65W,Orbit,Charging,Each,790.23,1142.75,2,Standard 5%,
MM-00682,Zenlink Replacement Screen,Zenlink,Repair Parts,Each,805.60,1344.49,41,Standard 5%,
MM-00683,Zenlink Replacement Screen,Zenlink,Repair Parts,Each,597.51,974.59,2,Standard 5%,
MM-00684,Nova Replacement Battery,Nova,Repair Parts,Each,314.13,505.95,40,Standard 5%,
MM-00685,PureSound Cable Type-C,PureSound,accessories,Each,615.29,894.54,33,Standard 5%,
MM-00686,PureSound Fitness Band,PureSound,Wearables,Each,595.57,1048.67,36,Standard 5%,
MM-00687,Orbit Smartphone 256GB,Orbit,Phones,Each,745.07,1340.52,18,Standard 5%,
MM-00688,Vantage Wireless Earbuds,Vantage,audio,Each,408.74,667.46,20,Standard 5%,
MM-00689,Zenlink Screen Protector,Zenlink,Accessories,Each,196.02,360.27,40,Standard 5%,
MM-00690,Zenlink Smart Watch,Zenlink,Wearable,Each,831.11,1515.07,8,Standard 5%,
MM-00691,Falconx Smartphone Lite,Falconx,Mobiles,Each,794.34,1166.55,48,Standard 5%,
MM-00692,PureSound Fast Charger 20W,PureSound,Chargers,Each,154.54,220.69,7,Standard 5%,
MM-00693,Falconx Smartphone 256GB,Falconx,phones,Each,239.49,437.85,17,Standard 5%,
MM-00694,PureSound Smartphone 128GB,PureSound,phones,Each,427.57,796.25,15,Standard 5%,
MM-00695,Orbit Fast Charger 65W,Orbit,Chargers,Each,183.41,319.47,30,Standard 5%,
MM-00696,Falconx Phone Case,Falconx,Accessories,Each,286.88,423.79,17,Standard 5%,
MM-00697,Orbit Bluetooth Speaker,Orbit,Audio,Each,596.11,1040.29,17,Standard 5%,
MM-00698,Nova Fast Charger 20W,Nova,Charging,Each,729.33,985.28,38,Standard 5%,
MM-00699,Zenlink Smartphone Lite,Zenlink,Mobiles,Each,422.02,604.37,36,Standard 5%,
MM-00700,Vantage Cable Type-C,Vantage,Acc.,Each,125.89,180.56,19,Standard 5%,
MM-00701,PureSound Smartphone 256GB,PureSound,phones,Each,855.33,1142.01,48,Standard 5%,
MM-00702,Zenlink Fitness Band,Zenlink,Wearable,Each,251.47,389.61,18,Standard 5%,
MM-00703,Falconx Bluetooth Speaker,Falconx,audio,Each,453.32,623.31,30,Standard 5%,
MM-00704,Falconx Wireless Earbuds,Falconx,audio,Each,74.38,123.41,9,Standard 5%,
MM-00705,Vantage Cable Type-C,Vantage,Acc.,Each,133.14,212.42,36,Standard 5%,
MM-00706,Vantage Smartphone 256GB,Vantage,Mobiles,Each,609.79,837.77,45,Standard 5%,
MM-00707,Vantage Wireless Earbuds,Vantage,audio,Each,634.39,988.32,29,Standard 5%,
MM-00708,Nova Smartphone Lite,Nova,phones,Each,240.16,366.12,18,Standard 5%,
MM-00709,Zenlink Cable Type-C,Zenlink,Acc.,Each,821.05,1250.10,4,Standard 5%,
MM-00710,PureSound Wireless Earbuds,PureSound,audio,Each,26.34,45.11,9,Standard 5%,
MM-00711,PureSound Smartphone Lite,PureSound,phones,Each,216.36,301.74,6,Standard 5%,
MM-00712,Vantage Replacement Screen,Vantage,Repair Parts,Each,418.12,658.41,34,Standard 5%,
MM-00713,Nova Smartphone Lite,Nova,phones,Each,580.27,1039.48,24,Standard 5%,
MM-00714,Zenlink Smartphone Lite,Zenlink,phones,Each,737.71,1164.44,5,Standard 5%,
MM-00715,Zenlink Phone Case,Zenlink,Acc.,Each,461.94,775.75,39,Standard 5%,
MM-00716,Nova Smartphone 256GB,Nova,Mobiles,Each,235.83,333.52,49,Standard 5%,
MM-00717,Zenlink Replacement Battery,Zenlink,Repair Parts,Each,426.25,576.25,42,Standard 5%,
MM-00718,Nova Cable Type-C,Nova,Acc.,Each,142.52,264.68,29,Standard 5%,
MM-00719,PureSound Over-Ear Headphones,PureSound,Audio,Each,156.57,279.23,0,Standard 5%,
MM-00720,Nova Fitness Band,Nova,Wearable,Each,811.80,1101.38,10,Standard 5%,
MM-00721,PureSound Wireless Earbuds,PureSound,Audio,Each,393.08,645.96,25,Standard 5%,
MM-00722,PureSound Over-Ear Headphones,PureSound,audio,Each,392.28,630.39,45,Standard 5%,
MM-00723,Orbit Smartphone 256GB,Orbit,phones,Each,714.25,1131.96,47,Standard 5%,
MM-00724,Zenlink Smart Watch,Zenlink,Wearables,Each,24.25,34.67,48,Standard 5%,
MM-00725,PureSound Cable Type-C,PureSound,Accessories,Each,230.02,308.69,4,Standard 5%,
MM-00726,PureSound Replacement Screen,PureSound,Parts,Each,681.98,903.37,49,Standard 5%,
MM-00727,Orbit Smartphone 256GB,Orbit,phones,Each,64.39,86.60,5,Standard 5%,
MM-00728,Orbit Smartphone 256GB,Orbit,Mobiles,Each,833.00,1510.45,27,Standard 5%,
MM-00729,Nova Wireless Earbuds,Nova,Audio,Each,143.57,198.63,17,Standard 5%,
MM-00730,Orbit Fitness Band,Orbit,Wearables,Each,534.49,914.43,19,Standard 5%,
MM-00731,Falconx Fast Charger 65W,Falconx,Chargers,Each,263.53,464.37,14,Standard 5%,
MM-00732,Zenlink Over-Ear Headphones,Zenlink,Audio,Each,570.90,874.05,6,Standard 5%,
MM-00733,PureSound Fast Charger 20W,PureSound,Chargers,Each,776.90,1078.17,18,Standard 5%,
MM-00734,PureSound Smartphone Lite,PureSound,Phones,Each,163.52,271.54,2,Standard 5%,
MM-00735,Nova Screen Protector,Nova,accessories,Each,590.69,887.02,42,Standard 5%,
MM-00736,Vantage Smartphone Lite,Vantage,phones,Each,879.65,1118.31,0,Standard 5%,
MM-00737,Falconx Smartphone Lite,Falconx,Mobiles,Each,459.61,730.81,13,Standard 5%,
MM-00738,PureSound Car Mount,PureSound,Acc.,Each,886.53,1607.40,14,Standard 5%,
MM-00739,PureSound Smartphone 256GB,PureSound,Phones,Each,710.94,1010.80,47,Standard 5%,
MM-00740,Falconx Smartphone 256GB,Falconx,Mobiles,Each,622.55,934.91,44,Standard 5%,
MM-00741,Zenlink Wireless Earbuds,Zenlink,Audio,Each,261.18,340.76,18,Standard 5%,
MM-00742,Falconx Replacement Battery,Falconx,Repair Parts,Each,867.59,1447.85,16,Standard 5%,
MM-00743,Nova Fast Charger 20W,Nova,Charging,Each,276.57,475.21,9,Standard 5%,
MM-00744,Zenlink Bluetooth Speaker,Zenlink,Audio,Each,648.08,1152.46,18,Standard 5%,
MM-00745,Orbit Cable Type-C,Orbit,accessories,Each,818.89,1535.67,20,Standard 5%,
MM-00746,Orbit Cable Type-C,Orbit,accessories,Each,618.69,1037.05,32,Standard 5%,
MM-00747,Nova Over-Ear Headphones,Nova,audio,Each,267.01,441.67,34,Standard 5%,
MM-00748,Vantage Phone Case,Vantage,Accessories,Each,209.44,314.85,24,Standard 5%,
MM-00749,Zenlink Smartphone Lite,Zenlink,Mobiles,Each,361.61,600.75,45,Standard 5%,
MM-00750,Vantage Smartphone 256GB,Vantage,Phones,Each,412.81,607.27,24,Standard 5%,
MM-00751,Vantage Fast Charger 20W,Vantage,Charging,Each,454.42,852.55,50,Standard 5%,
MM-00752,Nova Smart Watch,Nova,Wearables,Each,144.83,244.38,48,Standard 5%,
MM-00753,Nova Car Mount,Nova,accessories,Each,502.93,772.18,50,Standard 5%,
MM-00754,Falconx Screen Protector,Falconx,accessories,Each,527.33,769.14,26,Standard 5%,
MM-00755,Nova Replacement Screen,Nova,Parts,Each,262.53,352.09,22,Standard 5%,
MM-00756,Zenlink Fast Charger 65W,Zenlink,Chargers,Each,374.61,532.80,36,Standard 5%,
MM-00757,Nova Replacement Screen,Nova,Repair Parts,Each,308.12,518.36,1,Standard 5%,
MM-00758,Falconx Replacement Screen,Falconx,Repair Parts,Each,152.01,248.42,12,Standard 5%,
MM-00759,Vantage Cable Type-C,Vantage,Accessories,Each,90.09,151.42,32,Standard 5%,
MM-00760,Zenlink Screen Protector,Zenlink,accessories,Each,707.43,1221.14,2,Standard 5%,
MM-00761,Falconx Wireless Charger Pad,Falconx,Chargers,Each,464.42,759.79,14,Standard 5%,
MM-00762,Nova Bluetooth Speaker,Nova,Audio,Each,351.55,450.89,15,Standard 5%,
MM-00763,Falconx Fitness Band,Falconx,Wearable,Each,445.07,733.51,10,Standard 5%,
MM-00764,Vantage Replacement Battery,Vantage,Parts,Each,819.03,1196.92,30,Standard 5%,
MM-00765,Orbit Replacement Screen,Orbit,Repair Parts,Each,287.30,398.00,46,Standard 5%,
MM-00766,Falconx Smartphone Lite,Falconx,phones,Each,858.67,1200.75,29,Standard 5%,
MM-00767,Zenlink Bluetooth Speaker,Zenlink,Audio,Each,327.89,454.82,30,Standard 5%,
MM-00768,Nova Phone Case,Nova,Acc.,Each,810.23,1286.27,30,Standard 5%,
MM-00769,PureSound Fast Charger 20W,PureSound,Charging,Each,295.55,510.17,50,Standard 5%,
MM-00770,PureSound Smartphone 128GB,PureSound,Mobiles,Each,727.60,967.62,1,Standard 5%,
MM-00771,Zenlink Screen Protector,Zenlink,Acc.,Each,580.43,906.78,31,Standard 5%,
MM-00772,Vantage Smart Watch,Vantage,Wearable,Each,215.36,286.18,39,Standard 5%,
MM-00773,Orbit Wireless Charger Pad,Orbit,Chargers,Each,242.51,314.46,49,Standard 5%,
MM-00774,Nova Wireless Earbuds,Nova,Audio,Each,879.84,1197.68,25,Standard 5%,
MM-00775,Falconx Replacement Screen,Falconx,Parts,Each,660.58,1044.33,50,Standard 5%,
MM-00776,Falconx Wireless Charger Pad,Falconx,Chargers,Each,440.14,756.60,11,Standard 5%,
MM-00777,Zenlink Fitness Band,Zenlink,Wearable,Each,519.97,717.27,42,Standard 5%,
MM-00778,Nova Fitness Band,Nova,Wearables,Each,708.80,1005.33,37,Standard 5%,
MM-00779,Falconx Wireless Earbuds,Falconx,Audio,Each,297.66,522.74,48,Standard 5%,
MM-00780,Zenlink Replacement Battery,Zenlink,Parts,Each,560.78,874.94,7,Standard 5%,
